Date,Adj Close,Close,High,Low,Open,Volume
2020-06-01,84.08756256103516,100.01000213623047,100.0199966430664,100.01000213623047,100.0199966430664,1600
2020-06-02,84.09008026123047,100.01300048828125,100.0199966430664,100.01300048828125,100.0199966430664,4000
2020-06-03,84.09175872802734,100.01499938964844,100.01499938964844,100.01499938964844,100.01499938964844,100
2020-06-04,84.09175872802734,100.01499938964844,100.02100372314453,100.0,100.0,2400
2020-06-05,84.08756256103516,100.01000213623047,100.0199966430664,100.01000213623047,100.0199966430664,400
2020-06-08,84.08756256103516,100.01000213623047,100.01000213623047,100.01000213623047,100.01000213623047,100
2020-06-09,84.08756256103516,100.01000213623047,100.01000213623047,100.01000213623047,100.01000213623047,100
2020-06-10,84.09175872802734,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,12300
2020-06-11,84.09175872802734,100.01499938964844,100.02999877929688,100.01499938964844,100.0199966430664,7587100
2020-06-12,84.09175872802734,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,4900
2020-06-15,84.09175872802734,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,8500
2020-06-16,84.09175872802734,100.01499938964844,100.01499938964844,100.01499938964844,100.01499938964844,100
2020-06-17,84.09593963623047,100.0199966430664,100.02999877929688,100.01499938964844,100.02999877929688,4600
2020-06-18,84.09931945800781,100.02400207519531,100.02999877929688,100.0199966430664,100.02999877929688,19600
2020-06-19,84.10016632080078,100.0250015258789,100.02899932861328,100.0199966430664,100.0250015258789,5600
2020-06-22,84.09593963623047,100.0199966430664,100.02999877929688,100.01000213623047,100.02999877929688,22500
2020-06-23,84.09593963623047,100.0199966430664,100.02999877929688,100.0199966430664,100.02999877929688,1500
2020-06-24,84.09593963623047,100.0199966430664,100.02999877929688,100.01000213623047,100.01000213623047,17100
2020-06-25,84.09593963623047,100.0199966430664,100.0199966430664,100.01000213623047,100.0199966430664,10700
2020-06-26,84.09175872802734,100.01499938964844,100.02999877929688,100.01000213623047,100.02999877929688,51200
2020-06-29,84.10016632080078,100.0250015258789,100.0250015258789,100.0199966430664,100.0250015258789,3700
2020-06-30,84.10016632080078,100.0250015258789,100.0250015258789,100.0250015258789,100.0250015258789,700
2020-07-01,84.09680938720703,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,15100
2020-07-02,84.10185241699219,100.02100372314453,100.02999877929688,100.0199966430664,100.0199966430664,5300
2020-07-06,84.09680938720703,100.01499938964844,100.0199966430664,100.01499938964844,100.01499938964844,2400
2020-07-07,84.09680938720703,100.01499938964844,100.0199966430664,100.01100158691406,100.01100158691406,3900
2020-07-08,84.09680938720703,100.01499938964844,100.02999877929688,100.01499938964844,100.0199966430664,18700
2020-07-09,84.1052017211914,100.0250015258789,100.02999877929688,100.0250015258789,100.02999877929688,400
2020-07-10,84.10855102539062,100.02899932861328,100.02999877929688,100.0250015258789,100.02999877929688,26400
2020-07-13,84.1052017211914,100.0250015258789,100.02999877929688,100.0250015258789,100.02999877929688,1000
2020-07-14,84.10099029541016,100.0199966430664,100.02999877929688,100.01000213623047,100.0199966430664,6500
2020-07-15,84.10099029541016,100.0199966430664,100.02999877929688,100.01599884033203,100.02999877929688,9100
2020-07-16,84.10099029541016,100.0199966430664,100.02999877929688,100.01000213623047,100.02999877929688,14700
2020-07-17,84.10099029541016,100.0199966430664,100.02999877929688,100.0199966430664,100.02999877929688,18300
2020-07-20,84.10099029541016,100.0199966430664,100.02999877929688,100.0199966430664,100.02999877929688,1200
2020-07-21,84.10099029541016,100.0199966430664,100.02999877929688,100.01000213623047,100.02999877929688,157200
2020-07-22,84.10099029541016,100.0199966430664,100.02999877929688,100.01000213623047,100.02999877929688,9000
2020-07-23,84.10099029541016,100.0199966430664,100.02999877929688,100.01000213623047,100.0199966430664,10600
2020-07-24,84.10099029541016,100.0199966430664,100.02999877929688,100.0199966430664,100.0199966430664,1400
2020-07-27,84.10099029541016,100.0199966430664,100.02999877929688,100.0199966430664,100.02999877929688,23900
2020-07-28,84.10099029541016,100.0199966430664,100.02999877929688,100.01000213623047,100.02999877929688,16000
2020-07-29,84.1052017211914,100.0250015258789,100.02999877929688,100.0199966430664,100.02999877929688,1600
2020-07-30,84.10099029541016,100.0199966430664,100.04000091552734,100.01000213623047,100.02999877929688,17000
2020-07-31,84.1052017211914,100.0250015258789,100.02999877929688,100.0250015258789,100.02999877929688,1400
2020-08-03,84.10606384277344,100.01499938964844,100.01499938964844,100.01499938964844,100.01499938964844,300
2020-08-04,84.10606384277344,100.01499938964844,100.0199966430664,100.01000213623047,100.0199966430664,1400
2020-08-05,84.10606384277344,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,12800
2020-08-06,84.10606384277344,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,21500
2020-08-07,84.11023712158203,100.0199966430664,100.02999877929688,100.0199966430664,100.0199966430664,10000
2020-08-10,84.10606384277344,100.01499938964844,100.0199966430664,100.0,100.0199966430664,25600
2020-08-11,84.10606384277344,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,20600
2020-08-12,84.11023712158203,100.0199966430664,100.02999877929688,100.01000213623047,100.01000213623047,291300
2020-08-13,84.11023712158203,100.0199966430664,100.0199966430664,100.01799774169922,100.01799774169922,600
2020-08-14,84.11444854736328,100.0250015258789,100.02999877929688,100.0250015258789,100.02999877929688,28700
2020-08-17,84.11444854736328,100.0250015258789,100.02999877929688,100.0199966430664,100.02999877929688,44700
2020-08-18,84.11023712158203,100.0199966430664,100.02999877929688,100.01000213623047,100.02999877929688,8300
2020-08-19,84.11612701416016,100.0270004272461,100.02999877929688,100.0270004272461,100.02999877929688,2900
2020-08-20,84.11023712158203,100.0199966430664,100.02999877929688,100.0199966430664,100.02999877929688,3000
2020-08-21,84.11023712158203,100.0199966430664,100.02999877929688,100.01000213623047,100.01000213623047,11500
2020-08-24,84.11023712158203,100.0199966430664,100.02999877929688,100.0199966430664,100.02999877929688,11300
2020-08-25,84.11444854736328,100.0250015258789,100.02999877929688,100.01300048828125,100.0199966430664,6700
2020-08-26,84.10186004638672,100.01000213623047,100.02999877929688,100.01000213623047,100.01000213623047,26000
2020-08-27,84.11865234375,100.02999877929688,100.02999877929688,100.01000213623047,100.01000213623047,61700
2020-08-28,84.11023712158203,100.0199966430664,100.02999877929688,100.0199966430664,100.0199966430664,700
2020-08-31,84.11023712158203,100.0199966430664,100.02999877929688,100.01000213623047,100.0199966430664,20500
2020-09-01,84.09932708740234,100.0,100.0199966430664,100.0,100.0199966430664,44000
2020-09-02,84.10774993896484,100.01000213623047,100.0199966430664,100.0,100.0199966430664,14200
2020-09-03,84.11192321777344,100.01499938964844,100.0199966430664,100.01000213623047,100.01799774169922,3200
2020-09-04,84.11192321777344,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,500
2020-09-08,84.11192321777344,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,2200
2020-09-09,84.1161117553711,100.0199966430664,100.02999877929688,100.01000213623047,100.0199966430664,58600
2020-09-10,84.11192321777344,100.01499938964844,100.0199966430664,100.01000213623047,100.0199966430664,1600
2020-09-11,84.11192321777344,100.01499938964844,100.0199966430664,100.01499938964844,100.01899719238281,12500
2020-09-14,84.11192321777344,100.01499938964844,100.0199966430664,100.01000213623047,100.01100158691406,4900
2020-09-15,84.11192321777344,100.01499938964844,100.0199966430664,100.01000213623047,100.0199966430664,14800
2020-09-16,84.11192321777344,100.01499938964844,100.0199966430664,100.01499938964844,100.01499938964844,2500
2020-09-17,84.11192321777344,100.01499938964844,100.0199966430664,100.01000213623047,100.0199966430664,3000
2020-09-18,84.11192321777344,100.01499938964844,100.02999877929688,100.01000213623047,100.02999877929688,800
2020-09-21,84.11192321777344,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,58500
2020-09-22,84.11192321777344,100.01499938964844,100.0199966430664,100.01300048828125,100.0199966430664,16400
2020-09-23,84.11192321777344,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,11400
2020-09-24,84.11192321777344,100.01499938964844,100.0199966430664,100.01000213623047,100.01499938964844,11000
2020-09-25,84.1161117553711,100.0199966430664,100.02999877929688,100.0199966430664,100.0199966430664,800
2020-09-28,84.1161117553711,100.0199966430664,100.02999877929688,100.0199966430664,100.0250015258789,485200
2020-09-29,84.1161117553711,100.0199966430664,100.02999877929688,100.0199966430664,100.02999877929688,3300
2020-09-30,84.1161117553711,100.0199966430664,100.02999877929688,100.01000213623047,100.02999877929688,900
2020-10-01,84.11613464355469,100.01499938964844,100.0199966430664,100.01300048828125,100.0199966430664,31100
2020-10-02,84.11193084716797,100.01000213623047,100.0199966430664,100.0,100.00599670410156,15000
2020-10-05,84.11952209472656,100.01899719238281,100.0199966430664,100.01899719238281,100.0199966430664,40200
2020-10-06,84.11613464355469,100.01499938964844,100.0199966430664,100.01000213623047,100.01899719238281,28100
2020-10-07,84.11613464355469,100.01499938964844,100.02999877929688,100.01000213623047,100.01000213623047,59500
2020-10-08,84.11613464355469,100.01499938964844,100.0199966430664,100.01000213623047,100.01899719238281,44300
2020-10-09,84.11613464355469,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,11100
2020-10-12,84.11613464355469,100.01499938964844,100.0199966430664,100.01000213623047,100.01899719238281,23100
2020-10-13,84.11613464355469,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,48400
2020-10-14,84.11613464355469,100.01499938964844,100.0199966430664,100.01499938964844,100.01499938964844,17000
2020-10-15,84.11613464355469,100.01499938964844,100.05000305175781,100.01499938964844,100.0199966430664,115600
2020-10-16,84.11613464355469,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,8200
2020-10-19,84.11613464355469,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,14600
2020-10-20,84.11613464355469,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,11400
2020-10-21,84.11613464355469,100.01499938964844,100.0199966430664,100.01000213623047,100.01799774169922,17100
2020-10-22,84.11613464355469,100.01499938964844,100.0199966430664,100.01499938964844,100.01899719238281,16100
2020-10-23,84.12031555175781,100.0199966430664,100.02999877929688,100.0199966430664,100.02799987792969,15200
2020-10-26,84.12031555175781,100.0199966430664,100.02999877929688,100.01899719238281,100.01899719238281,3400
2020-10-27,84.12031555175781,100.0199966430664,100.02999877929688,100.01000213623047,100.01499938964844,7700
2020-10-28,84.12031555175781,100.0199966430664,100.02999877929688,100.01699829101562,100.0199966430664,6100
2020-10-29,84.12031555175781,100.0199966430664,100.02999877929688,100.01200103759766,100.01599884033203,2100
2020-10-30,84.12031555175781,100.0199966430664,100.02999877929688,100.01000213623047,100.02200317382812,5000
2020-11-02,84.12452697753906,100.0199966430664,100.0199966430664,100.01399993896484,100.01499938964844,2100
2020-11-03,84.12033081054688,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,4200
2020-11-04,84.12033081054688,100.01499938964844,100.0199966430664,100.01499938964844,100.0199966430664,500
2020-11-05,84.12033081054688,100.01499938964844,100.0199966430664,100.01399993896484,100.01399993896484,2300
2020-11-06,84.12033081054688,100.01499938964844,100.0199966430664,100.01499938964844,100.01899719238281,3000
2020-11-09,84.12452697753906,100.0199966430664,100.0199966430664,100.01000213623047,100.01499938964844,11200
2020-11-10,84.12033081054688,100.01499938964844,100.0199966430664,100.01499938964844,100.01499938964844,2000
2020-11-11,84.12033081054688,100.01499938964844,100.0199966430664,100.01499938964844,100.01799774169922,8700
2020-11-12,84.12033081054688,100.01499938964844,100.0199966430664,100.01499938964844,100.01499938964844,3300
2020-11-13,84.12033081054688,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,35500
2020-11-16,84.12033081054688,100.01499938964844,100.0199966430664,100.01000213623047,100.01899719238281,5800
2020-11-17,84.12033081054688,100.01499938964844,100.0199966430664,100.01000213623047,100.01499938964844,2100
2020-11-18,84.12452697753906,100.0199966430664,100.02100372314453,100.01000213623047,100.01599884033203,782700
2020-11-19,84.12033081054688,100.01499938964844,100.02999877929688,100.01000213623047,100.01000213623047,190100
2020-11-20,84.12033081054688,100.01499938964844,100.02999877929688,100.01000213623047,100.01699829101562,7900
2020-11-23,84.12452697753906,100.0199966430664,100.0250015258789,100.01000213623047,100.0250015258789,4300
2020-11-24,84.12452697753906,100.0199966430664,100.02999877929688,100.01000213623047,100.02899932861328,11700
2020-11-25,84.11614990234375,100.01000213623047,100.02799987792969,100.01000213623047,100.02799987792969,4600
2020-11-27,84.12452697753906,100.0199966430664,100.02999877929688,100.0199966430664,100.02999877929688,7900
2020-11-30,84.12452697753906,100.0199966430664,100.02899932861328,100.01000213623047,100.01000213623047,8600
2020-12-01,84.12034606933594,100.01000213623047,100.0199966430664,100.01000213623047,100.01000213623047,9900
2020-12-02,84.12034606933594,100.01000213623047,100.0199966430664,100.01000213623047,100.01000213623047,9900
2020-12-03,84.12454986572266,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,23100
2020-12-04,84.12454986572266,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,15100
2020-12-07,84.12034606933594,100.01000213623047,100.0199966430664,100.01000213623047,100.01100158691406,44500
2020-12-08,84.12034606933594,100.01000213623047,100.0199966430664,100.01000213623047,100.0199966430664,65900
2020-12-09,84.12034606933594,100.01000213623047,100.0199966430664,100.01000213623047,100.01100158691406,7900
2020-12-10,84.12454986572266,100.01499938964844,100.02999877929688,100.01000213623047,100.0199966430664,35600
2020-12-11,84.12454986572266,100.01499938964844,100.0199966430664,100.01000213623047,100.01799774169922,32600
2020-12-14,84.12454986572266,100.01499938964844,100.02999877929688,100.01000213623047,100.0199966430664,46400
2020-12-15,84.12454986572266,100.01499938964844,100.02999877929688,100.01000213623047,100.0199966430664,82600
2020-12-16,84.1329574584961,100.0250015258789,100.02999877929688,100.0199966430664,100.0199966430664,6600
2020-12-17,84.12958526611328,100.01499938964844,100.0199966430664,100.01000213623047,100.01100158691406,13100
2020-12-18,84.12958526611328,100.01499938964844,100.0199966430664,100.01000213623047,100.0199966430664,73300
2020-12-21,84.12958526611328,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,36200
2020-12-22,84.12958526611328,100.01499938964844,100.0199966430664,100.01000213623047,100.01000213623047,80000
2020-12-23,84.12539672851562,100.01000213623047,100.0199966430664,100.01000213623047,100.0199966430664,48200
